token,label,sentence_id
11:11,3,1
.....,3,1
make,1,1
a,1,1
wish,1,1
.......,3,1
night,1,1
night,1,1
@YiseBabee,3,2
i,1,2
wish,1,2
i,1,2
could,1,2
be,1,2
ignorant,1,2
Bout,1,3
to,1,3
get,1,3
my,1,3
Fat,1,3
ON,1,3
Me,2,4
encantaria,2,4
que,2,4
me,2,4
vieras,2,4
",",3,4
de,2,4
la,2,4
manera,2,4
que,2,4
yo,2,4
te,2,4
veo,2,4
#OneDay,1,4
@CalvaryArlCC,3,5
Do,1,5
you,1,5
guys,1,5
have,1,5
a,1,5
spanish,1,5
department,1,5
or,1,5
services,1,5
???,3,5
Going,1,6
asleep,1,6
with,1,6
papi,1,6
's,1,6
music,1,6
on,1,6
skype,4,6
",",3,6
even,1,6
thoe,1,6
our,1,6
call,1,6
hang,1,6
up,1,6
#Priceless,1,6
#DistanceDontMatter,1,6
Lets,1,7
have,1,7
a,1,7
date,1,7
me,1,7
and,1,7
you,1,7
for,1,7
ever,1,7
and,1,7
ever,1,7
😍😘,3,7
#NeverAlone,1,7
Good,1,8
Night,1,8
World,1,8
y,1,8
'all,1,8
be,1,8
blessed,1,8
Good,1,9
Afternoon,1,9
World,1,9
@Liberty316,3,10
Ur,1,10
B-Day,1,10
was,1,10
yesterday,1,10
too,1,10
fam,1,10
!?,3,10
Good,1,11
Morning,1,11
World,1,11
y,1,11
'all,1,11
be,1,11
blessed,1,11
same,1,12
🙍,3,12
“,3,12
@larki__,3,12
:,3,12
All,1,12
my,1,12
friends,1,12
are,1,12
with,1,12
their,1,12
boos,1,12
so,1,12
I,1,12
have,1,12
no,1,12
one,1,12
to,1,12
talk,1,12
to,1,12
#5everalone,1,12
🙍,3,12
”,3,12
👀👀,3,13
“,3,13
@manito_jesse,3,13
:,3,13
@larki__,3,13
@kiragarciaa,3,13
Kira,4,13
never,1,13
says,1,13
that,1,13
😏,3,13
”,3,13
Oh,1,14
😯😐,3,14
“,3,14
@larki__,3,14
:,3,14
😴😴😴,3,14
RT,1,14
@manito_jesse,3,14
:,3,14
larki__,1,14
@kiragarciaa,3,14
randy,4,14
can,1,14
make,1,14
yours,1,14
😭😭,3,14
”,3,14
@larki__,3,15
@manito_jesse,3,15
😭😭😭,3,15
sorry,1,15
boo,0,15
😂😂,3,16
“,3,16
@manito_jesse,3,16
:,3,16
“,3,16
@kiragarciaa,3,16
:,3,16
Por,2,16
favor,2,16
baby,1,16
rip,1,16
me,1,16
right,1,16
out,1,16
of,1,16
my,1,16
dolce,1,16
😏🎧,3,16
”,3,16
tato,1,16
😎😏,3,16
”,3,16
Bubble,1,17
gum,1,17
and,1,17
heat,1,17
wave,1,17
😭😭😭😭😭😭,3,17
“,3,17
@larki__,3,17
:,3,17
Yamilka,4,17
",",3,17
sheyla,4,17
took,1,17
my,1,17
dollar,1,17
to,1,17
la,2,17
iglesia,2,17
dksishslbehelbeksbdjjdbksbs,0,17
😭😍,3,17
❤,3,17
️,3,17
RT,1,17
@kiragarciaa,3,17
:,3,17
Te,2,18
pienso,2,18
y,2,18
no,2,18
te,2,18
puedo,2,18
olvidar,2,18
Am,1,19
going,1,19
to,1,19
work,1,19
really,1,19
hard,1,19
!!!,3,19
No,1,19
matter,1,19
what,1,19
is,1,19
going,1,19
in,1,19
my,1,19
life,1,19
my,1,20
mom,1,20
:,3,20
me,2,20
puestes,2,20
mandar,2,20
unos,2,20
gotero,2,20
que,2,20
se,2,20
llama,2,20
"""",3,20
me,2,20
vale,2,20
madre,2,20
"""",3,20
jajajaja,2,20
this,1,21
can,1,21
be,1,21
happing,1,21
to,1,21
me,1,21
Noooooo,1,21
wake,1,21
up,1,21
girl,1,21
!!!,3,21
no,1,22
tutti,4,22
fruitt,4,22
today,1,22
:(,3,22
Un,2,23
poco,2,23
de,2,23
miedo,2,23
😏,3,23
"""",3,24
Smile,1,24
cause,1,24
your,1,24
smile,1,24
is,1,24
amazing,1,24
"""",3,24
😄,3,24
Yo,2,25
no,2,25
soy,2,25
de,2,25
botas,2,25
vaquera,2,25
me,2,25
miro,2,25
súper,2,25
mal,2,25
jajaja,2,25
I,1,26
already,1,26
know,1,26
what,1,26
I,1,26
want,1,26
for,1,26
my,1,26
b-day,1,26
:),3,26
I,1,27
just,1,27
want,1,27
to,1,27
slap,1,27
my,1,27
self,1,27
jaja,2,27
stop,1,27
it,1,27
Alejandra,4,27
stop,1,27
it,1,27
I,1,28
just,1,28
want,1,28
to,1,28
slap,1,28
my,1,28
self,1,28
jaja,2,28
I,1,29
want,1,29
to,1,29
go,1,29
to,1,29
san,4,29
Antonio,4,29
!!!,3,29
and,1,29
to,1,29
hill,4,29
country,4,29
and,1,29
san,4,29
marcos,4,29
too,1,29
I,1,30
want,1,30
to,1,30
sleep,1,30
more,1,30
😴😴😞,3,30
I,1,31
want,1,31
friday,4,31
to,1,31
be,1,31
here,1,31
already,1,31
:),3,31
can,1,31
wait,1,31
I,1,31
just,1,31
hope,1,31
it,1,31
fit,1,31
😁,3,31
I,1,32
need,1,32
that,1,32
yesterday,1,32
:),3,32
Que,2,33
rico,2,33
me,2,33
duele,2,33
mi,2,33
cuerpo,2,33
#goodexercise,1,33
I,1,34
hope,1,34
it,1,34
can,1,34
happen,1,34
!!!,3,34
if,1,34
not,1,34
it,1,34
ok,1,34
pero,2,34
if,1,34
it,1,34
does,1,34
:),3,34
please,1,34
please,1,34
let,1,34
it,1,34
happen,1,34
<3,3,34
A,2,35
dormir,2,35
goodnight,1,35
😘,3,35
@alexiasalazar8,3,36
meow,0,36
lol,1,37
ELLEN,4,37
saying,1,37
she,1,37
has,1,37
no,1,37
money,1,37
to,1,37
tip,1,37
the,1,37
pizza,1,37
boy,1,37
:'),3,37
@biittchmiko,3,38
Okay,1,38
I,1,38
'm,1,38
going,1,38
send,1,38
it,1,38
to,1,38
you,1,38
or,1,38
its,1,38
all,1,38
the,1,38
same,1,38
thing,1,38
@biittchmiko,3,39
Okay,1,39
",",3,39
Priscilla,4,39
gave,1,39
me,1,39
a,1,39
coupon,1,39
I,1,39
could,1,39
used,1,39
it,1,39
",",3,39
but,1,39
I,1,39
can,1,39
n't,1,39
print,1,39
it,1,39
.,3,39
@Moniii_07,3,40
@daang_priscilla,3,40
Sorry,1,40
girls,1,40
I,1,40
did,1,40
n't,1,40
know,1,40
you,1,40
all,1,40
where,1,40
going,1,40
to,1,40
call,1,40
me,1,40
:(,3,40
I,1,41
think,1,41
I,1,41
'll,1,41
just,1,41
go,1,41
to,1,41
bed,1,41
.,3,41
Hay,2,42
Dios,4,42
",",3,42
I,1,42
'm,1,42
tired,1,42
.,3,42
Wow,1,43
",",3,43
I,1,43
love,1,43
oomf,1,43
she,1,43
makes,1,43
me,1,43
laugh,1,43
(:,3,43
Mallorie,4,44
and,1,44
Megan,4,44
are,1,44
freaking,1,44
hilarious,1,44
...,3,44
@biittchmiko,3,45
I,1,45
'll,1,45
be,1,45
there,1,45
like,1,45
at,1,45
4,3,45
Okay,1,45
give,1,45
me,1,45
a,1,45
discount,1,45
lol,1,45
(:,3,45
Duele,2,46
el,2,46
amor,2,46
sin,2,46
ti,2,46
",",3,46
duele,2,46
hasta,2,46
matar,2,46
.,3,46
Lastnight,1,47
I,1,47
cried,1,47
",",3,47
till,1,47
I,1,47
fell,1,47
asleep,1,47
.,3,47
Lastnight,1,48
",",3,48
talking,1,48
a,1,48
David,4,48
about,1,48
all,1,48
my,1,48
problems,1,48
",",3,48
the,1,48
shit,1,48
I,1,48
've,1,48
been,1,48
through,1,48
",",3,48
I,1,48
knew,1,48
he,1,48
's,1,48
a,1,48
good,1,48
friend,1,48
.,3,48
&,3,49
lastnight,1,49
was,1,49
one,1,49
of,1,49
those,1,49
days,1,49
.,3,49
When,1,50
I,1,50
'm,1,50
depress,1,50
",",3,50
I,1,50
fall,1,50
asleep,1,50
early,1,50
",",3,50
I,1,51
'm,1,51
done,1,51
",",3,51
I,1,51
'm,1,51
done,1,51
.,3,51
I,1,52
love,1,52
Alicia,4,52
no,1,52
matter,1,52
how,1,52
much,1,52
shit,1,52
we,1,52
go,1,52
through,1,52
we,1,52
always,1,52
talk,1,52
about,1,52
and,1,52
where,1,52
there,1,52
like,1,52
sisters,1,52
(:,3,52
Only,1,53
music,1,53
will,1,53
make,1,53
me,1,53
happy,1,53
!!!!!!,3,53
I,1,54
love,1,54
to,1,54
dance,1,54
to,1,54
Reggeton,4,54
>>>>,3,54
His,1,55
dick,1,55
was,1,55
small,1,55
",",3,55
that,1,55
all,1,55
there,1,55
saying,1,55
.,3,55
deseo,2,56
acabar,2,56
con,2,56
todo,2,56
...,3,56
@quinti14,3,57
ouchh,0,57
reaccióna,2,58
encabronada,2,58
como,2,58
si,2,58
el,2,58
sueño,2,58
fuese,2,58
verdad,2,58
..,3,58
jajajaja,2,58
mis,2,59
padres,2,59
discutiendo,2,59
quien,2,59
grabo,2,59
mejor,2,59
el,2,59
baile,2,59
..,3,59
jajajaja,2,59
@alexandrarosado,3,60
el,2,60
mio,2,60
esta,2,60
tan,2,60
chaputeao,2,60
que,2,60
me,2,60
da,2,60
pena,2,60
@NEWdanicsierra,3,61
em,2,61
que,2,61
?,3,61
@alexandrarosado,3,62
@mememecaigo,3,62
que,2,62
?,3,62
voy,2,62
a,2,62
morir,2,62
!,3,62
yo,2,62
ni,2,62
se,2,62
como,2,62
hacerlo,2,62
!,3,62
:'(,3,62
@mememecaigo,3,63
dime,2,63
que,2,63
eso,2,63
no,2,63
es,2,63
para,2,63
mañana,2,63
y,2,63
que,2,63
es,2,63
para,2,63
el,2,63
5,3,63
:(,3,63
@quinti14,3,64
ouchh,0,64
..,3,64
como,2,64
te,2,64
lo,2,64
doblaste,2,64
?,3,64
no,2,65
poder,2,65
ir,2,65
a,2,65
la,2,65
playa,2,65
porque,2,65
no,2,65
he,2,65
terminado,2,65
de,2,65
estudiar,2,65
me,2,65
duele,2,65
:/,3,65
@PMGA_,3,66
jajajajaaj,2,66
mi,2,66
papa,2,66
hiso,2,66
lo,2,66
mismo,2,66
!,3,66
@colon_andre,3,67
papi,2,67
lo,2,67
grabo,2,67
en,2,67
su,2,67
cel,2,67
mi,2,68
tia,2,68
llorando,2,68
viendo,2,68
el,2,68
video,2,68
esto,2,68
no,2,68
pasa,2,68
sigo,2,69
viendo,2,69
el,2,69
baile,2,69
de,2,69
nosotras,2,69
y,2,69
sigo,2,69
llorando,2,69
@vivivazq,3,70
cuando,2,70
no,2,70
?,3,70
@yandiaflandia,3,71
vivi,4,71
durmio,2,71
como,2,71
18,3,71
...,3,71
"""",3,72
¿,3,72
vas,2,72
hacer,2,72
algo,2,72
hoy,2,72
?,3,72
"""",3,72
-sii,2,72
",",3,72
decir,2,72
que,2,72
voy,2,72
a,2,72
estudiar,2,72
y,2,72
terminar,2,72
trabajos,2,72
y,2,72
no,2,72
hacer,2,72
tres,2,72
carajos,2,72
...,3,72
mil,2,73
cosas,2,73
que,2,73
terminar,2,73
y,2,73
yo,2,73
sigo,2,73
aqui,2,73
