sentences,labels
"Las ratas de EEUU se vuelven más agresivas ante la falta de desperdicios para comer por el confinamiento: la agencia oficial para el control de enfermedades alertan de un comportamiento ""poco común"", ""agresivo"" y con episodios de canibalismo https://t.co/jvB1ZS5H7n https://t.co/EBi3wJKSTe",0
me gustaria saber como cojoneis veis normal ir a una discoteca con una pandemia,0
"A ver, humano:

-Dime, ¿qué se siente al estar encerrado todo el día?
Ahora ya sabes cómo se sienten los animales en el zoológico.

#COVID2019 #COVID19 https://t.co/wFQ9yOV3WR",0
"Cuándo alguien es responsable de la peor gestión de la pandemia llevada a cabo en toda Europa, se supone que, como mínimo, debería dimitir. ¿A qué espera, señor Simón? ¿A que el ministro Illa lo destituya y se vaya también él?",0
"La letalidad del virus en el mundo es de un 0.00259 %

Vaya pandemia chunga",0
"Cada año nos tienen que explicar las campanadas, nos han tenido que decir cómo lavarnos las manos, también lo que son dos metros de distancia. Y ahora nos tienen que dar las claves para utilizar bien la mascarilla.
En serio somos la especie más evolucionada? 🤔",0
tb a cuando si no te ponias camisas playero no eras cool,1
RT @JandroRamos12 : El futuro cast de Teen Mom https://t.co/yKMxpwesTe,1
Every Sunday at Westland Mall Ponte en Forma con La Gatita from 9am to 11am . Make plans to be here … http://t.co/u0XITBzJvp,1
RIP @jacobyebale Hace Un año me estabas consolando x la perdida de mi hermano ahora te unes a el y tengo Un angel MAS . http://t.co/vqZYfoS8,1
Zombers se que podemos llegar al Millón de descargas ! Aun faltáis muchos por descargar ! Z4E ! ❤ ️💀 https://t.co/0UfHW7Z0Sz,1
Yo jurando que eran como las 10:30 pm,1
@nicolevazquez28 dile a christian que estoy pobre que necesito unos new balance nuevos,1
RT @anibalgabriel__ : WA esta algarete,1
Y nos vamos otra vez !! ! @NEGROPR76 #workhardplayhard,1
"RT @787NewsNetwork : Trailer Bridge , Inc ., una de cuatro compañías navieras que trae bienes a Puerto Rico radica quiebra . http://t.co/PpY .. .",1
RT @angelicamarie03 : Queda rotundamente prohibido tirarse misiones por shitty ass fuckboys is that so hard to understand girls ?,1
Rico compartir con mis amigochas . La quiero las colombian con la mexican #mybday #mexicanstyle … http://t.co/YDiOlhkEMB,1
“ @MidniteComm : @maffio @maffioglobal listo para #UnNuevoDia Por @telemundo http://t.co/LYwyHcuw ” fashion man . Que Cool te vistes 😜,1
RT @KarenGomeez : @YellowMellowMG Necesito ver los vlogs de éste viaje . Se ve TAN lindo todo *-*,1
“ @HARDROCK : What was the first Hard Rock Cafe you ever went to ? #myfirsthardrock ” In San Juan PR around 2002 with my now Husband @NEGROPR76,1
RT @ariana_aracelys : se ven cute y con las negras completas https://t.co/Lex3ZWqgtP,1
@lafincadigital Yo le puedo ayudar a tomar su pago con mucho gusto . Por favor mándeme un MD para poder ayudarle con eso y más . Gracias . ~ AS,1
Y ahora en Cantón mall !! ! Omg !,1
financiera es ganar el suficiente dinero como para hacer mis compras de rutina en The Mall of San Juan .,1
"RT @SaraOcasio : Siento que mi "" new year 's kiss "" este año será un shot 🤔",1
RT @escardi : Joder el malote de la serie de The 100 es igual que @Kronnomc 😂😂 https://t.co/dnBV2VF5qS,1
"I need to go to Luquillo , pa ' hoyyyy",1
tengo cuarto para mañana .. .. D I M E L O !,1
UNCHARTED 4 RAP | ¿ CARA O CRUZ ? | KRONNO ZOMBER | ( Videoclip Oficial ): https://t.co/wxIBPcKetD vía @YouTube,1
RT @emmrenurettin : Before and After listening to Lana Del Rey https://t.co/sqQkieyedV,1
"RT @frances694 : Llegó el día , hoy se me sale lo de yal en el showli .",1
Westland mall todos los Domingos #Ponteenformaconlagatita de 9a a 11a totalmente gratis … http://t.co/uR299Wf49t,1
