text	label	source
After this I 'm just gonna go home drink summ hot chocolate con bolillo and sleep	positive	sentimix
Eating a good as posole ha	positive	sentimix
Dale mijo , no cop no stop	neutral	sentimix
Damn I love listening to los cardenales de nuevo leon y el poder del norte at night	positive	sentimix
I 'm pretty happy phone is finally recognizing the Spanish words I use with the swipe mode on jaja	positive	sentimix
@PresshDestiny mmmmm never been to a bonfire ... I prefer carne asada jajaja	positive	sentimix
Then again I just stood up and I might still be Lil tipsy jajaj	positive	sentimix
Last night once we all finished eating our grapes we all took a shot of tequila lol	positive	sentimix
@PresshDestiny jaja I know you 're not you 're one in a billion precious( = and your mom would call you callejera for shopping ? Lol that 's funy	positive	sentimix
@Elmagnet_21 allright si no ya sabe las consequencias !! Eh haha	positive	sentimix
@Elmagnet_21 mmm hasta de beso me saludo i wass like omg omg lol jk jk	positive	sentimix
Maury bien happy with his present que le regalo su Padrino Oscar ! #futuremusico	positive	sentimix
Cuando Mis parents me dejan ir el date me Keda Mal / . - No MAMEN	negative	sentimix
@brissamayen Gracias that means a lot :) & tbh luck has nothin 2 do w/ it , its all Love , Strength , & Dedication , Sin eso el ♥ no es nada !	positive	sentimix
@_shedopeee CAN I GET A AMEN !!!!!!! LIKE DAMNNN MF HALLELUJAH !!!! Ese Guache David se la rifo #Shocked #ItsReal #TeAplaudo #Keeper	positive	sentimix
Misplace : Extraviar ( diferente a perder ) . I misplaced my keys ( no las perdiste , solo no sabes donde están	neutral	sentimix
Nor should he be ! Algo así como “ y no debería ” He 's not allowed to drink , nor should he be !	neutral	sentimix
@princessstacy_ son a lot Pero Nomas 3 me Gustaron 😛 I Uno has a truck el Fue el que came scoop c ; haha they cool 💁 especially la Suegra (;	positive	sentimix
@elizaaaabethhh_ lmao its funny cause primero andan hablando d uno y luego vienen a pedir favores & I 'm just like nah buscenle x otro lado !	negative	sentimix
@james_tornado @gmeschin Por ejemplo " other than/aparte de " en algunos casos tiene MUCHO más sentido que " otro que " saludos :)	positive	sentimix
I do n't want to be ( 18 ) but I think you are way ( 19 ) for this position ( 18 : Grosero ) ( 19 : Relajado/perezoso )	negative	sentimix
@_itskayyyyy no pos wow , Fuhk the @dolphins tmbim a Los heats	negative	sentimix
He already knocked him down in the first no mamar	neutral	sentimix
@cribhood10 Si Kiero Homie ; b	positive	sentimix
@juanjeojeda Si , es hora punta , como en Colombia decimos hora pico , no me atreví a escribirlo , no quería escribir un coloq :) salds ty ! :)	positive	sentimix
Yo ! Where the fuck my mom at ? Traigo Hambre y Ella de callejera No ! No ! No ! No !!! Yo quiero Breakfast k se venga Home NOW !!! * Calling Her * ..	negative	sentimix
@Monimaravilla19 tas wacheando porn o.O ewww lol jj	positive	sentimix
@HoeBagg_Shelly it 's lagging in me too #valiendoverg , hahaha ni te creo xD , this semester gunna fast btw so the work will pile up	positive	sentimix
Bitter-Sweet : Dulce y amargo ( agridulce ) . It was a bitter-sweet moment when my daughter moved out for college .	neutral	sentimix
@Yaritzaa__ I just came back from the gym and I 'm tired as shit 😩 , ima shower eat some enfrijoladas y a dormir lol	neutral	sentimix
I ’ve never heard of that : No tener conocimiento sobre algo P1 : I think I ’ll buy me a loco burrito . P2 : Loco burrito ? I ’ve never heard of that	positive	sentimix
Why tf is everyone on my tl talking about they need to take a shit #nopostacabron #pinchescagones	negative	sentimix
Onta el guy que Iva Llevar a taco Moore tomorrow 😦 Nomas me ilusionastes 😂😁👌	neutral	sentimix
Out of my pocket : Lo pago de mi bolsillo . I ’m paying for my daughter ’s college straight out of my pocket , no loans or anything .	neutral	sentimix
And ima be in here for 4 hours #nopostacabron #fml	neutral	sentimix
At the drop of a dime : Instantáneamente sin vacilación . Do n’t test me , I ’ll leave you at the drop of a dime .	negative	sentimix
@crystal_jaimes lmao I cant stop laughing << la zombie , uhh girl I see you getting u shine on .. ok nvm bye !	positive	sentimix
@DarkLedBetter y observa q las otras silabas tienen un ə , en general las silabas sin acento tienen un ə o un ɪ community kəˈmyu nɪ ti	positive	sentimix
@kayytee_14 lmao you have to move the cordon a certain way or else no pasa el corriente 😂 ?	neutral	sentimix
@Milyl15 no pos wow 😂😋👌	positive	sentimix
@_BBonjour shop online seca : b	positive	sentimix
Cuando ellos dicen " late " no dicen leɪt ni leɪ dicen una t " muda " , les voy a avisar cuando lo tenga actualizado en la web :)	positive	sentimix
Rodeo tonight ... aver k tal me ba esta ves !! ! __-	positive	sentimix
@EliZaIBQ mess up significa muchas cosas , allí significa algo así como hmmm " joderle la vida " sorry , sorry , no encuentro otra palabra :)	negative	sentimix
My nieghbors are like the loudest family in the whole apt #callate	positive	sentimix
RT @_tetanic : la gente jura que uno no se cansa y estará siempre aguantando todo , mmmm not .	negative	sentimix
RT @andyescalona : #70sbaby #styling @angieestilo & @beatrizmiami #vestido #BCBG #mascada # #RalphLauren #zapatos … http://t.co/I04jbqVt52	neutral	sentimix
Acabo de terminar ! El rap del Tag del Youtuber ! Que fucking cansancio !	negative	sentimix
Que fkn stress	negative	sentimix
En casa me paso en sport bra porque este calor de mierda no lo aguanta nadieeeee	negative	sentimix
RT @meechonmars : This Scene Will Make You Sad No Matter What https://t.co/vxH3JJFhmF	negative	sentimix
RT @christiiaan_55 : Yo prefiero quemar todo porque aja después quien recoge eso ? El bichhhhhh https://t.co/spMoHPkza1	negative	sentimix
gringos be eating so early .. .	negative	sentimix
El video de zomber Girl va a tardar mas de 5 horas en renderizarse por estar grabado en 5K .. . y ahora que asemoh ?. .. no matamo ?	negative	sentimix
RT @jgwo_ : Siempre quieren buscarle justificación a las cosas mas crueles , mera missed me with that bullshit , educate y después habla .	negative	sentimix
RT @yaramrt : Mi mejor amiga se pasa dando rt a tweets que dicen " Yo siempre contesto rápido " ; al jevo será porque a mi hasta me ignora	negative	sentimix
RT @artdaiIy : Anna Karina and Jean-Paul Belmondo in " Pierrot le fou " ( 1965 ) . https://t.co/JMUBFRyLzL	neutral	sentimix
RT @Chicamedusaa : @YellowMellowMG melo sin poder subir el vlog https://t.co/dJAgkBGEnB	negative	sentimix
La gente en la uni que van un día normal medios disfrazados , en Halloween se botan	negative	sentimix
@TransitoPR cuidado en Rexville plaza aparente asesinato en el Parking por popeyes .	negative	sentimix
RT @jincho236 : 🚨 RT 🚨 RT 🚨 RT 🚨 Si lo han visto Por Favor , comuniquense DM o Llamen , Gracias 🚨 RT 🚨 RT 🚨 RT 🚨 https://t.co/ouwaQ77GRE	negative	sentimix
RT @amgarcia10 : " Senior year es un paseo " QUIEN CARAJO DIJO SEMEJANTE MENTIRA	negative	sentimix
RT @isabella_orm : Ideas de promposal de mis amigas = public humiliation	negative	sentimix
