text	label	source
After this I 'm just gonna go home drink summ hot chocolate con bolillo and sleep	positive	LINCE
Eating a good as posole ha	positive	LINCE
Dale mijo , no cop no stop	neutral	LINCE
Damn I love listening to los cardenales de nuevo leon y el poder del norte at night	positive	LINCE
I 'm pretty happy phone is finally recognizing the Spanish words I use with the swipe mode on jaja	positive	LINCE
@PresshDestiny mmmmm never been to a bonfire ... I prefer carne asada jajaja	positive	LINCE
Then again I just stood up and I might still be Lil tipsy jajaj	positive	LINCE
Last night once we all finished eating our grapes we all took a shot of tequila lol	positive	LINCE
@PresshDestiny jaja I know you 're not you 're one in a billion precious( = and your mom would call you callejera for shopping ? Lol that 's funy	positive	LINCE
@Elmagnet_21 allright si no ya sabe las consequencias !! Eh haha	positive	LINCE
@Elmagnet_21 mmm hasta de beso me saludo i wass like omg omg lol jk jk	positive	LINCE
Maury bien happy with his present que le regalo su Padrino Oscar ! #futuremusico	positive	LINCE
Cuando Mis parents me dejan ir el date me Keda Mal / . - No MAMEN	negative	LINCE
@brissamayen Gracias that means a lot :) & tbh luck has nothin 2 do w/ it , its all Love , Strength , & Dedication , Sin eso el ♥ no es nada !	positive	LINCE
@_shedopeee CAN I GET A AMEN !!!!!!! LIKE DAMNNN MF HALLELUJAH !!!! Ese Guache David se la rifo #Shocked #ItsReal #TeAplaudo #Keeper	positive	LINCE
Misplace : Extraviar ( diferente a perder ) . I misplaced my keys ( no las perdiste , solo no sabes donde están	neutral	LINCE
Nor should he be ! Algo así como “ y no debería ” He 's not allowed to drink , nor should he be !	neutral	LINCE
@princessstacy_ son a lot Pero Nomas 3 me Gustaron 😛 I Uno has a truck el Fue el que came scoop c ; haha they cool 💁 especially la Suegra (;	positive	LINCE
@elizaaaabethhh_ lmao its funny cause primero andan hablando d uno y luego vienen a pedir favores & I 'm just like nah buscenle x otro lado !	negative	LINCE
@james_tornado @gmeschin Por ejemplo " other than/aparte de " en algunos casos tiene MUCHO más sentido que " otro que " saludos :)	positive	LINCE
I do n't want to be ( 18 ) but I think you are way ( 19 ) for this position ( 18 : Grosero ) ( 19 : Relajado/perezoso )	negative	LINCE
@_itskayyyyy no pos wow , Fuhk the @dolphins tmbim a Los heats	negative	LINCE
He already knocked him down in the first no mamar	neutral	LINCE
@cribhood10 Si Kiero Homie ; b	positive	LINCE
@juanjeojeda Si , es hora punta , como en Colombia decimos hora pico , no me atreví a escribirlo , no quería escribir un coloq :) salds ty ! :)	positive	LINCE
Yo ! Where the fuck my mom at ? Traigo Hambre y Ella de callejera No ! No ! No ! No !!! Yo quiero Breakfast k se venga Home NOW !!! * Calling Her * ..	negative	LINCE
@Monimaravilla19 tas wacheando porn o.O ewww lol jj	positive	LINCE
@HoeBagg_Shelly it 's lagging in me too #valiendoverg , hahaha ni te creo xD , this semester gunna fast btw so the work will pile up	positive	LINCE
Bitter-Sweet : Dulce y amargo ( agridulce ) . It was a bitter-sweet moment when my daughter moved out for college .	neutral	LINCE
@Yaritzaa__ I just came back from the gym and I 'm tired as shit 😩 , ima shower eat some enfrijoladas y a dormir lol	neutral	LINCE
I ’ve never heard of that : No tener conocimiento sobre algo P1 : I think I ’ll buy me a loco burrito . P2 : Loco burrito ? I ’ve never heard of that	positive	LINCE
Why tf is everyone on my tl talking about they need to take a shit #nopostacabron #pinchescagones	negative	LINCE
Onta el guy que Iva Llevar a taco Moore tomorrow 😦 Nomas me ilusionastes 😂😁👌	neutral	LINCE
Out of my pocket : Lo pago de mi bolsillo . I ’m paying for my daughter ’s college straight out of my pocket , no loans or anything .	neutral	LINCE
And ima be in here for 4 hours #nopostacabron #fml	neutral	LINCE
At the drop of a dime : Instantáneamente sin vacilación . Do n’t test me , I ’ll leave you at the drop of a dime .	negative	LINCE
@crystal_jaimes lmao I cant stop laughing << la zombie , uhh girl I see you getting u shine on .. ok nvm bye !	positive	LINCE
@DarkLedBetter y observa q las otras silabas tienen un ə , en general las silabas sin acento tienen un ə o un ɪ community kəˈmyu nɪ ti	positive	LINCE
@kayytee_14 lmao you have to move the cordon a certain way or else no pasa el corriente 😂 ?	neutral	LINCE
@Milyl15 no pos wow 😂😋👌	positive	LINCE
@_BBonjour shop online seca : b	positive	LINCE
Cuando ellos dicen " late " no dicen leɪt ni leɪ dicen una t " muda " , les voy a avisar cuando lo tenga actualizado en la web :)	positive	LINCE
Rodeo tonight ... aver k tal me ba esta ves !! ! __-	positive	LINCE
@EliZaIBQ mess up significa muchas cosas , allí significa algo así como hmmm " joderle la vida " sorry , sorry , no encuentro otra palabra :)	negative	LINCE
My nieghbors are like the loudest family in the whole apt #callate	positive	LINCE
RT @_tetanic : la gente jura que uno no se cansa y estará siempre aguantando todo , mmmm not .	negative	LINCE
RT @andyescalona : #70sbaby #styling @angieestilo & @beatrizmiami #vestido #BCBG #mascada # #RalphLauren #zapatos … http://t.co/I04jbqVt52	neutral	LINCE
Acabo de terminar ! El rap del Tag del Youtuber ! Que fucking cansancio !	negative	LINCE
Que fkn stress	negative	LINCE
En casa me paso en sport bra porque este calor de mierda no lo aguanta nadieeeee	negative	LINCE
RT @meechonmars : This Scene Will Make You Sad No Matter What https://t.co/vxH3JJFhmF	negative	LINCE
RT @christiiaan_55 : Yo prefiero quemar todo porque aja después quien recoge eso ? El bichhhhhh https://t.co/spMoHPkza1	negative	LINCE
gringos be eating so early .. .	negative	LINCE
El video de zomber Girl va a tardar mas de 5 horas en renderizarse por estar grabado en 5K .. . y ahora que asemoh ?. .. no matamo ?	negative	LINCE
RT @jgwo_ : Siempre quieren buscarle justificación a las cosas mas crueles , mera missed me with that bullshit , educate y después habla .	negative	LINCE
RT @yaramrt : Mi mejor amiga se pasa dando rt a tweets que dicen " Yo siempre contesto rápido " ; al jevo será porque a mi hasta me ignora	negative	LINCE
RT @artdaiIy : Anna Karina and Jean-Paul Belmondo in " Pierrot le fou " ( 1965 ) . https://t.co/JMUBFRyLzL	neutral	LINCE
RT @Chicamedusaa : @YellowMellowMG melo sin poder subir el vlog https://t.co/dJAgkBGEnB	negative	LINCE
La gente en la uni que van un día normal medios disfrazados , en Halloween se botan	negative	LINCE
