token,label,sentence_id
So,1,1
that,1,1
means,1,1
tomorrow,1,1
cruda,2,1
segura,2,1
lol,1,1
Tonight,1,2
peda,2,2
segura,2,2
Eres,2,3
tan,2,3
mala,2,3
vieja,2,3
bruja,2,3
interesada,2,3
#jamming,1,3
Yo,2,4
kiero,2,4
Pretzels,4,4
lol,1,4
Fuck,1,5
that,1,5
ni,2,5
ke,2,5
el,2,5
me,2,5
vaya,2,5
a,2,5
mantener,2,5
toda,2,5
la,2,5
vida,2,5
lol,1,5
I,1,6
always,1,6
tell,1,6
my,1,6
dad,1,6
ke,2,6
me,2,6
kiero,2,6
kasar,2,6
con,2,6
una,2,6
vieja,2,6
rika,2,6
and,1,6
me,2,6
regaña,2,6
telling,1,6
me,1,6
ke,2,6
no,2,6
sea,2,6
interesada,2,6
ha,2,6
Ke,2,7
me,2,7
compre,2,7
un,2,7
carrito,2,7
pa,2,7
irme,2,7
con,2,7
mis,2,7
friends,1,7
and,1,7
party,1,7
lol,1,7
Why,1,8
can,1,8
I,1,8
just,1,8
find,1,8
a,1,8
rich,1,8
bitch,1,8
ke,2,8
me,7,8
mantenga,2,8
y,2,8
ya,2,8
ha,7,8
Since,1,9
I,1,9
started,1,9
working,1,9
ya,2,9
ni,2,9
disfruto,2,9
la,2,9
vida,2,9
lol,1,9
My,1,10
dad,1,10
me,2,10
regano,2,10
cuzs,1,10
I,1,10
was,1,10
telling,1,10
that,1,10
to,1,10
my,1,10
brother,1,10
and,1,10
lo,2,10
andaba,2,10
molestando,2,10
lol,1,10
If,1,11
u,1,11
still,1,11
love,1,11
her,1,11
you,1,11
should,1,11
give,1,11
her,1,11
otro,2,11
chance,2,11
Tengo,2,12
hungry,1,12
mhm,0,12
Teachers,1,13
be,1,13
staring,1,13
at,1,13
me,1,13
like,1,13
im,1,13
high,1,13
they,1,13
gotta,1,13
accept,1,13
my,1,13
eyes,1,13
parecen,2,13
de,2,13
camaron,2,13
Bien,2,14
fatass,1,14
ha,2,14
@Nathaliaa_Bitch,3,15
lmao,1,15
yeah,1,15
sure,1,15
el,2,15
tuyo,2,15
parece,2,15
ke,2,15
te,2,15
lo,2,15
iso,2,15
un,2,15
lil,1,15
kid,1,15
@Gaaybee,3,16
ha,1,16
do,1,16
n't,1,16
lie,1,16
los,2,16
mios,2,16
bolian,2,16
a,2,16
febrezee,6,16
xD,3,16
@Gaaybee,3,17
lo,2,17
levantaste,2,17
con,2,17
una,2,17
de,2,17
tus,2,17
bombas,2,17
lmao,1,17
I,1,18
'm,1,18
an,1,18
asshole,1,18
to,1,18
gabby,4,18
lol,1,18
ok,1,18
ya,2,18
@Gaaybee,3,19
actually,1,19
yo,2,19
me,2,19
bajaba,2,19
porke,2,19
te,2,19
echabas,2,19
unos,2,19
pedos,2,19
bien,2,19
apestosos,2,19
ke,2,19
no,7,19
aguantaba,2,19
fumigabas,2,19
todo,2,19
el,2,19
room,1,19
xD,3,19
@Gaaybee,3,20
ha,1,20
u,1,20
know,1,20
is,1,20
true,1,20
parece,2,20
ke,2,20
te,2,20
esta,2,20
dando,2,20
un,2,20
atake,2,20
xD,3,20
Nobody,1,21
can,1,21
make,1,21
gabby,4,21
laugh,1,21
like,1,21
I,1,21
do,1,21
✌😂😆,3,21
asta,2,21
parece,2,21
mongolita,2,21
lmao,1,21
@Nathaliaa_Bitch,3,22
ha,2,22
ratchet,1,22
as,1,22
N,4,22
xD,3,22
parece,2,22
u,1,22
al,2,22
revvez,2,22
Gabby,4,23
is,1,23
just,1,23
saying,1,23
that,1,23
cuzs,1,23
I,1,23
gave,1,23
her,1,23
",",3,23
her,1,23
fav,1,23
gum,1,23
and,1,23
le,2,23
planche,2,23
sus,2,23
pelos,2,23
de,2,23
elote,2,23
lol,1,23
jk,1,23
jk,1,23
Should,1,24
I,1,24
give,1,24
oomf,1,24
the,1,24
candy,1,24
nawh,0,24
mejor,2,24
me,2,24
lo,2,24
como,2,24
yo,2,24
lol,1,24
I,1,25
was,1,25
gonna,1,25
buy,1,25
summ,1,25
spur,1,25
gumn,1,25
for,1,25
oomf,1,25
but,1,25
then,1,25
I,1,25
remembered,1,25
that,1,25
shes,1,25
on,1,25
a,1,25
diet,1,25
so,1,25
mejor,2,25
no,7,25
lol,1,25
Cuzs,1,26
today,1,26
I,1,26
swear,1,26
I,1,26
'm,1,26
not,1,26
doing,1,26
anything,1,26
nothing,1,26
at,1,26
all,1,26
fui,1,26
fui,1,26
fui,1,26
Manager,1,27
got,1,27
us,1,27
tacos,2,27
and,1,27
everyone,1,27
is,1,27
just,1,27
chilling,1,27
lol,1,27
The,1,28
hug,1,28
she,1,28
gave,1,28
me,1,28
en,2,28
la,2,28
morning,1,28
>>>>,3,28
Is,1,29
your,1,29
name,1,29
sabado,4,29
cuzs,1,29
that,1,29
ass,1,29
is,1,29
gigante,4,29
lol,1,29
I,1,30
'm,1,30
the,1,30
type,1,30
of,1,30
person,1,30
that,1,30
would,1,30
get,1,30
drunk,1,30
af,1,30
do,1,30
stupid,1,30
shit,1,30
darme,2,30
unos,2,30
chingasos,2,30
call,1,30
or,1,30
text,1,30
my,1,30
crush,1,30
and,1,30
the,1,30
next,1,30
day,1,30
i,1,30
will,1,30
do,1,30
it,1,30
again,1,30
I,1,31
'm,1,31
just,1,31
hoping,1,31
my,1,31
crush,1,31
venga,2,31
today,1,31
:,3,31
*,3,31
Came,1,32
to,1,32
buy,1,32
a,1,32
torta,2,32
and,1,32
una,2,32
gordita,2,32
for,1,32
my,1,32
bro,1,32
Hola,2,33
chikita,2,33
estoy,2,33
bien,2,33
buenote,2,33
kieres,2,33
ser,2,33
mi,2,33
novia,2,33
lmao,1,33
-,3,33
Pañiaguas,4,33
@Nathaliaa_Bitch,3,34
Nigga,4,34
my,1,34
tat,1,34
ai,1,34
n't,1,34
even,1,34
fucked,1,34
up,1,34
otra,2,34
cosa,2,34
ke,2,34
tu,2,34
no,2,34
saves,1,34
ni,2,34
leer,2,34
ha,1,34
Oomf,1,35
anda,2,35
de,2,35
buenas,2,35
pues,2,35
ke,2,35
abra,2,35
comido,2,35
lol,1,35
She,1,36
used,1,36
to,1,36
hate,1,36
barbacoa,2,36
but,1,36
it,1,36
was,1,36
just,1,36
cuzs,1,36
she,1,36
did,1,36
n't,1,36
knew,1,36
how,1,36
to,1,36
eat,1,36
it,1,36
the,1,36
right,1,36
way,1,36
ha,1,36
I,1,37
was,1,37
eating,1,37
tacos,1,37
de,2,37
barbacoa,2,37
RN,4,37
and,1,37
me,1,37
akorde,2,37
de,2,37
oomf,1,37
lol,1,37
De,2,38
ke,2,38
te,2,38
kiero,2,38
te,2,38
kiero,2,38
pendeja,2,38
pero,2,38
rogarte,2,38
?,3,38
Ha,1,38
ni,2,38
ke,2,38
estuvieras,2,38
tan,2,38
Buena,2,38
;),3,38
She,1,39
's,1,39
a,7,39
good,1,39
cuñada,2,39
lol,1,39
Just,1,40
woke,1,40
up,1,40
De,2,40
my,1,40
nap,1,40
w,7,40
itzayana,4,40
Kuando,2,41
me,2,41
vaya,2,41
a,2,41
LA,4,41
or,1,41
mexico,4,41
IMA,1,41
take,1,41
my,1,41
queen,1,41
❤,3,41
Chillin,1,42
